17:12:47.996882 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2122428:2122584, ack 1081, win 592, length 156
17:12:47.998513 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126328:2126484, ack 1081, win 592, length 156
17:12:47.998620 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126484:2126640, ack 1081, win 592, length 156
17:12:47.998686 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126640:2126796, ack 1081, win 592, length 156
17:12:47.998745 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126796:2126952, ack 1081, win 592, length 156
17:12:47.998803 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2126952:2127108, ack 1081, win 592, length 156
17:12:47.998859 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2127108:2127264, ack 1081, win 592, length 156
17:12:47.998917 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2127264:2127420, ack 1081, win 592, length 156
17:12:47.998978 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2127420:2127576, ack 1081, win 592, length 156
17:12:47.999036 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2127576:2127732, ack 1081, win 592, length 156
17:12:47.999095 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2127732:2127888, ack 1081, win 592, length 156
17:12:47.999151 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2127888:2128044, ack 1081, win 592, length 156
17:12:47.999222 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128044:2128200, ack 1081, win 592, length 156
17:12:47.999283 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128200:2128356, ack 1081, win 592, length 156
17:12:47.999341 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128356:2128512, ack 1081, win 592, length 156
17:12:47.999398 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128512:2128668, ack 1081, win 592, length 156
17:12:47.999454 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128668:2128824, ack 1081, win 592, length 156
17:12:47.999509 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128824:2128980, ack 1081, win 592, length 156
17:12:47.999569 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2128980:2129136, ack 1081, win 592, length 156
17:12:47.999625 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2129136:2129292, ack 1081, win 592, length 156
17:12:47.999688 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2129292:2129448, ack 1081, win 592, length 156
17:12:47.999756 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2129448:2129604, ack 1081, win 592, length 156
17:12:47.999812 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2129604:2129760, ack 1081, win 592, length 156
17:12:47.999877 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2129760:2129916, ack 1081, win 592, length 156
17:12:47.999934 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2129916:2130072, ack 1081, win 592, length 156
17:12:47.999994 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2130072:2130228, ack 1081, win 592, length 156
17:12:48.000068 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2130228:2130384, ack 1081, win 592, length 156
17:12:48.000140 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2130384:2130540, ack 1081, win 592, length 156
17:12:48.000201 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2130540:2130696, ack 1081, win 592, length 156
17:12:48.000264 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2130696:2130852, ack 1081, win 592, length 156
17:12:48.000320 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2130852:2131008, ack 1081, win 592, length 156
17:12:48.000437 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131008:2131164, ack 1081, win 592, length 156
17:12:48.000507 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131164:2131320, ack 1081, win 592, length 156
17:12:48.000565 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131320:2131476, ack 1081, win 592, length 156
17:12:48.000632 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131476:2131632, ack 1081, win 592, length 156
17:12:48.000696 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131632:2131788, ack 1081, win 592, length 156
17:12:48.000757 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131788:2131944, ack 1081, win 592, length 156
17:12:48.000823 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2131944:2132100, ack 1081, win 592, length 156
17:12:48.000894 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2132100:2132256, ack 1081, win 592, length 156
17:12:48.000958 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2132256:2132412, ack 1081, win 592, length 156
17:12:48.001021 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2132412:2132568, ack 1081, win 592, length 156
17:12:48.001077 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2132568:2132724, ack 1081, win 592, length 156
17:12:48.001137 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2132724:2132880, ack 1081, win 592, length 156
17:12:48.001205 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2132880:2133036, ack 1081, win 592, length 156
17:12:48.001265 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133036:2133192, ack 1081, win 592, length 156
17:12:48.001348 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133192:2133348, ack 1081, win 592, length 156
17:12:48.001417 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133348:2133504, ack 1081, win 592, length 156
17:12:48.001484 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133504:2133660, ack 1081, win 592, length 156
17:12:48.001544 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133660:2133816, ack 1081, win 592, length 156
17:12:48.001610 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133816:2133972, ack 1081, win 592, length 156
17:12:48.001672 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2133972:2134128, ack 1081, win 592, length 156
17:12:48.001733 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2134128:2134284, ack 1081, win 592, length 156
17:12:48.001790 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2134284:2134440, ack 1081, win 592, length 156
17:12:48.001846 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2134440:2134596, ack 1081, win 592, length 156
17:12:48.001912 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2134596:2134752, ack 1081, win 592, length 156
17:12:48.001971 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2134752:2134908, ack 1081, win 592, length 156
17:12:48.002036 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2134908:2135064, ack 1081, win 592, length 156
17:12:48.002102 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2135064:2135220, ack 1081, win 592, length 156
17:12:48.002162 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2135220:2135376, ack 1081, win 592, length 156
17:12:48.002219 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2135376:2135532, ack 1081, win 592, length 156
17:12:48.002278 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2135532:2135688, ack 1081, win 592, length 156
17:12:48.002335 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2135688:2135844, ack 1081, win 592, length 156
17:12:48.002409 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2135844:2136000, ack 1081, win 592, length 156
17:12:48.002473 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136000:2136156, ack 1081, win 592, length 156
17:12:48.002533 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136156:2136312, ack 1081, win 592, length 156
17:12:48.002595 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136312:2136468, ack 1081, win 592, length 156
17:12:48.002653 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136468:2136624, ack 1081, win 592, length 156
17:12:48.002713 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136624:2136780, ack 1081, win 592, length 156
17:12:48.002775 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136780:2136936, ack 1081, win 592, length 156
17:12:48.002844 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2136936:2137092, ack 1081, win 592, length 156
17:12:48.002908 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2137092:2137248, ack 1081, win 592, length 156
17:12:48.002967 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2137248:2137404, ack 1081, win 592, length 156
17:12:48.003024 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2137404:2137560, ack 1081, win 592, length 156
17:12:48.003083 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2137560:2137716, ack 1081, win 592, length 156
17:12:48.003144 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2137716:2137872, ack 1081, win 592, length 156
17:12:48.003217 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2137872:2138028, ack 1081, win 592, length 156
17:12:48.003274 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138028:2138184, ack 1081, win 592, length 156
17:12:48.003342 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138184:2138340, ack 1081, win 592, length 156
17:12:48.003403 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138340:2138496, ack 1081, win 592, length 156
17:12:48.003459 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138496:2138652, ack 1081, win 592, length 156
17:12:48.003516 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138652:2138808, ack 1081, win 592, length 156
17:12:48.003589 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138808:2138964, ack 1081, win 592, length 156
17:12:48.003650 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2138964:2139120, ack 1081, win 592, length 156
17:12:48.003706 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2139120:2139276, ack 1081, win 592, length 156
17:12:48.003762 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2139276:2139432, ack 1081, win 592, length 156
17:12:48.003822 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2139432:2139588, ack 1081, win 592, length 156
17:12:48.003882 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2139588:2139744, ack 1081, win 592, length 156
17:12:48.003938 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2139744:2139900, ack 1081, win 592, length 156
17:12:48.003996 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2139900:2140056, ack 1081, win 592, length 156
17:12:48.004055 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140056:2140212, ack 1081, win 592, length 156
17:12:48.004115 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140212:2140368, ack 1081, win 592, length 156
17:12:48.004180 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140368:2140524, ack 1081, win 592, length 156
17:12:48.004241 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140524:2140680, ack 1081, win 592, length 156
17:12:48.004299 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140680:2140836, ack 1081, win 592, length 156
17:12:48.004361 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140836:2140992, ack 1081, win 592, length 156
17:12:48.004457 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2140992:2141148, ack 1081, win 592, length 156
17:12:48.004541 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2141148:2141304, ack 1081, win 592, length 156
17:12:48.004608 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2141304:2141460, ack 1081, win 592, length 156
17:12:48.004676 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2141460:2141616, ack 1081, win 592, length 156
17:12:48.004731 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2141616:2141772, ack 1081, win 592, length 156
17:12:48.004793 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2141772:2141928, ack 1081, win 592, length 156
17:12:48.004859 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2141928:2142084, ack 1081, win 592, length 156
17:12:48.004921 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2142084:2142240, ack 1081, win 592, length 156
17:12:48.004985 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2142240:2142396, ack 1081, win 592, length 156
17:12:48.005052 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2142396:2142552, ack 1081, win 592, length 156
17:12:48.005111 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2142552:2142708, ack 1081, win 592, length 156
17:12:48.005167 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2142708:2142864, ack 1081, win 592, length 156
17:12:48.005224 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2142864:2143020, ack 1081, win 592, length 156
17:12:48.005300 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143020:2143176, ack 1081, win 592, length 156
17:12:48.005384 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143176:2143332, ack 1081, win 592, length 156
17:12:48.005452 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143332:2143488, ack 1081, win 592, length 156
17:12:48.005508 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143488:2143644, ack 1081, win 592, length 156
17:12:48.005572 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143644:2143800, ack 1081, win 592, length 156
17:12:48.005638 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143800:2143956, ack 1081, win 592, length 156
17:12:48.005697 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2143956:2144112, ack 1081, win 592, length 156
17:12:48.005759 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2144112:2144268, ack 1081, win 592, length 156
17:12:48.005817 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2144268:2144424, ack 1081, win 592, length 156
17:12:48.005887 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2144424:2144580, ack 1081, win 592, length 156
17:12:48.005946 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2144580:2144736, ack 1081, win 592, length 156
17:12:48.006002 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2144736:2144892, ack 1081, win 592, length 156
17:12:48.006061 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2144892:2145048, ack 1081, win 592, length 156
17:12:48.006118 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145048:2145204, ack 1081, win 592, length 156
17:12:48.006185 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145204:2145360, ack 1081, win 592, length 156
17:12:48.006252 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145360:2145516, ack 1081, win 592, length 156
17:12:48.006312 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145516:2145672, ack 1081, win 592, length 156
17:12:48.006372 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145672:2145828, ack 1081, win 592, length 156
17:12:48.006437 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145828:2145984, ack 1081, win 592, length 156
17:12:48.006506 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2145984:2146140, ack 1081, win 592, length 156
17:12:48.006567 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2146140:2146296, ack 1081, win 592, length 156
17:12:48.006631 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2146296:2146452, ack 1081, win 592, length 156
17:12:48.006693 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2146452:2146608, ack 1081, win 592, length 156
17:12:48.006764 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2146608:2146764, ack 1081, win 592, length 156
17:12:48.006822 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2146764:2146920, ack 1081, win 592, length 156
17:12:48.006882 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2146920:2147076, ack 1081, win 592, length 156
17:12:48.006945 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2147076:2147232, ack 1081, win 592, length 156
17:12:48.007007 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2147232:2147388, ack 1081, win 592, length 156
17:12:48.007066 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2147388:2147544, ack 1081, win 592, length 156
17:12:48.007128 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2147544:2147700, ack 1081, win 592, length 156
17:12:48.007201 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2147700:2147856, ack 1081, win 592, length 156
17:12:48.007259 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2147856:2148012, ack 1081, win 592, length 156
17:12:48.007316 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148012:2148168, ack 1081, win 592, length 156
17:12:48.007391 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148168:2148324, ack 1081, win 592, length 156
17:12:48.007449 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148324:2148480, ack 1081, win 592, length 156
17:12:48.007509 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148480:2148636, ack 1081, win 592, length 156
17:12:48.007574 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148636:2148792, ack 1081, win 592, length 156
17:12:48.007631 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148792:2148948, ack 1081, win 592, length 156
17:12:48.007727 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2148948:2149104, ack 1081, win 592, length 156
17:12:48.007805 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2149104:2149260, ack 1081, win 592, length 156
17:12:48.007886 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2149260:2149416, ack 1081, win 592, length 156
17:12:48.007951 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2149416:2149572, ack 1081, win 592, length 156
17:12:48.008011 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2149572:2149728, ack 1081, win 592, length 156
17:12:48.008075 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2149728:2149884, ack 1081, win 592, length 156
17:12:48.008137 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2149884:2150040, ack 1081, win 592, length 156
17:12:48.008196 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150040:2150196, ack 1081, win 592, length 156
17:12:48.008252 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150196:2150352, ack 1081, win 592, length 156
17:12:48.008308 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150352:2150508, ack 1081, win 592, length 156
17:12:48.008378 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150508:2150664, ack 1081, win 592, length 156
17:12:48.008459 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150664:2150820, ack 1081, win 592, length 156
17:12:48.008528 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150820:2150976, ack 1081, win 592, length 156
17:12:48.008592 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2150976:2151132, ack 1081, win 592, length 156
17:12:48.008659 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2151132:2151288, ack 1081, win 592, length 156
17:12:48.008726 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2151288:2151444, ack 1081, win 592, length 156
17:12:48.008782 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2151444:2151600, ack 1081, win 592, length 156
17:12:48.008838 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2151600:2151756, ack 1081, win 592, length 156
17:12:48.008903 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2151756:2151912, ack 1081, win 592, length 156
17:12:48.008965 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2151912:2152068, ack 1081, win 592, length 156
17:12:48.009023 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2152068:2152224, ack 1081, win 592, length 156
17:12:48.009089 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2152224:2152380, ack 1081, win 592, length 156
17:12:48.009154 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2152380:2152536, ack 1081, win 592, length 156
17:12:48.009214 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2152536:2152692, ack 1081, win 592, length 156
17:12:48.009282 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2152692:2152848, ack 1081, win 592, length 156
17:12:48.009356 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2152848:2153004, ack 1081, win 592, length 156
17:12:48.009413 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153004:2153160, ack 1081, win 592, length 156
17:12:48.009479 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153160:2153316, ack 1081, win 592, length 156
17:12:48.009543 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153316:2153472, ack 1081, win 592, length 156
17:12:48.009598 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153472:2153628, ack 1081, win 592, length 156
17:12:48.009660 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153628:2153784, ack 1081, win 592, length 156
17:12:48.009721 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153784:2153940, ack 1081, win 592, length 156
17:12:48.009781 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2153940:2154096, ack 1081, win 592, length 156
17:12:48.009843 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2154096:2154252, ack 1081, win 592, length 156
17:12:48.009902 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2154252:2154408, ack 1081, win 592, length 156
17:12:48.009963 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2154408:2154564, ack 1081, win 592, length 156
17:12:48.010022 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2154564:2154720, ack 1081, win 592, length 156
